treat,lninc,gender,age,age2,hukou,fedu,medu,party
0,5.6698809,0,45,2025,1,6,6,0
0,6.4614682,1,65,4225,1,3,0,0
0,6.1312265,1,63,3969,1,3,0,0
0,7.3132205,1,31,961,1,9,9,0
1,7.0900769,0,61,3721,1,16,0,1
0,6.9077554,1,68,4624,1,12,0,0
0,7.6962128,0,45,2025,1,9,0,0
0,,0,44,1936,1,0,0,0
0,6.9077554,0,20,400,1,9,9,0
1,,0,18,324,1,12,12,0
0,6.7912216,1,57,3249,1,3,0,0
1,6.9177055,1,58,3364,1,12,6,0
0,7.0900769,1,47,2209,1,0,0,0
1,5.2983174,1,20,400,1,9,9,0
1,7.6496925,0,55,3025,1,6,0,1
0,7.2442274,0,51,2601,1,6,0,0
1,8.0063677,0,60,3600,1,6,6,1
1,8.0063677,0,24,576,1,12,6,0
0,,1,50,2500,,6,0,0
0,7.6009026,1,43,1849,1,12,6,1
0,6.7214255,1,53,2809,1,6,6,0
0,7.0030656,1,50,2500,1,0,0,0
1,8.2940493,0,32,1024,1,12,9,0
0,,0,24,576,0,,0,0
0,7.3132205,1,23,529,0,14,9,0
0,6.5510802,0,55,3025,1,3,0,0
0,7.6496925,1,46,2116,1,9,9,0
0,6.8023949,1,50,2500,1,9,0,0
0,6.9275579,1,57,3249,1,0,0,0
0,6.6066504,1,45,2025,1,0,0,0
0,,0,47,2209,1,9,6,0
0,,0,61,3721,1,,,0
1,,0,27,729,1,9,9,1
0,,1,43,1849,1,3,0,0
0,,1,23,529,1,12,12,0
0,,1,15,225,1,12,12,0
0,,1,16,256,1,12,12,0
1,,1,20,400,1,12,12,0
0,,0,67,4489,1,0,0,1
0,,0,50,2500,1,9,6,0
0,9.7981272,0,29,841,1,0,0,0
0,6.9077554,0,64,4096,1,,,0
1,,0,18,324,1,9,6,0
0,6.6846118,1,26,676,0,0,0,0
1,7.6009026,1,24,576,1,9,9,0
0,,1,48,2304,1,6,0,0
0,7.6009026,1,28,784,1,6,6,0
0,7.495542,0,50,2500,1,6,6,0
1,7.6009026,0,27,729,1,0,0,0
